transactionId,type,originalTransactionId,date,memberId,tier,lines,basketTHB,basketMilliPoints,pointsPosted,note
TX90001,SALE,,2026-09-27,M1001,GOLD,2,850,170000,170,"Sat + GOLD + FRESH: C1 x3 vs C4 x5, C2 already ended -> C4 wins on both lines"
TX90002,SALE,,2026-09-12,M1001,GOLD,2,700,72000,72,"Sat + GOLD: FRESH takes C1 x3; the HOME line is a x2 TIE between C2 and C5 - same points either way, but the tie-break must be deterministic and recorded for audit"
TX90003,SALE,,2026-09-08,M1001,GOLD,1,500,40000,40,"Tue + GOLD + FRESH: C1 is weekend-only, so C2 x2 wins"
TX90004,SALE,,2026-09-18,M1007,PLATINUM,2,1260,126000,126,PLATINUM outside payday: C3 x2.5 - the fractional multiplier case
TX90005,SALE,,2026-09-26,M1007,PLATINUM,1,990,198000,198,PLATINUM during payday: C4 x5 beats always-on C3 x2.5
TX90006,SALE,,2026-09-14,M1002,SILVER,1,749,59920,59,"SILVER + HOME inside C5: x2, and 749 THB leaves a remainder that must round DOWN"
TX90007,SALE,,2026-09-06,M1004,SILVER,3,273,29000,29,Sun + SILVER: two FRESH lines at C1 x3 plus a base line. Flooring per LINE gives 27 (16+10+1); flooring once per BASKET gives 29 - this is the transaction that proves you rounded in the right place
TX90008,SALE,,2026-09-25,M1003,PLATINUM,3,2535,507000,507,PLATINUM on the first payday day: C4 x5 beats C3 and C5 on every line
TX90009,SALE,,2026-09-16,M1005,GOLD,1,480,19200,19,GOLD one day after C2 ended: base rate only
TX90010,SALE,,2026-09-20,M1006,SILVER,2,400,40800,40,"Sun + SILVER: C1 x3 on FRESH, C5 x2 on HOME"
TX90011,SALE,,2026-09-28,M1008,GOLD,1,24,4800,4,24 THB at x5 = 4800 milli-points -> 4 points; a basket under the 25 THB base floor still earns
TX90012,SALE,,2026-09-29,M1003,PLATINUM,2,322,32200,32,Tue after payday: PLATINUM back to C3 x2.5; the 12 THB line contributes 1200 milli-points
TX90013,SALE,,2026-09-29,M1003,PLATINUM,4,2244,224400,224,
TX90014,SALE,,2026-09-06,M1006,SILVER,3,2329,137880,137,
TX90015,SALE,,2026-09-09,M1007,PLATINUM,1,1120,112000,112,
TX90016,SALE,,2026-09-18,M1003,PLATINUM,2,1189,118900,118,
TX90017,SALE,,2026-09-01,M1007,PLATINUM,1,499,49900,49,
TX90018,SALE,,2026-09-03,M1004,SILVER,3,2288,91520,91,
TX90019,SALE,,2026-09-29,M1001,GOLD,2,1670,66800,66,
TX90020,SALE,,2026-09-18,M1006,SILVER,1,499,19960,19,
TX90021,SALE,,2026-09-17,M1005,GOLD,1,95,3800,3,
TX90022,SALE,,2026-09-05,M1005,GOLD,1,219,26280,26,
TX90023,SALE,,2026-09-08,M1008,GOLD,3,927,74160,74,
TX90024,SALE,,2026-09-16,M1002,SILVER,1,349,13960,13,
TX90025,SALE,,2026-09-02,M1004,SILVER,1,559,22360,22,
TX90026,SALE,,2026-09-07,M1006,SILVER,1,95,3800,3,
TX90027,SALE,,2026-09-12,M1007,PLATINUM,1,890,89000,89,
TX90028,SALE,,2026-09-13,M1001,GOLD,1,449,35920,35,
TX90029,SALE,,2026-09-02,M1002,SILVER,4,1187,47480,47,
TX90030,SALE,,2026-09-25,M1005,GOLD,3,1999,399800,399,
TX90031,SALE,,2026-09-30,M1004,SILVER,2,578,23120,23,
TX90032,SALE,,2026-09-18,M1002,SILVER,2,1569,107560,107,
TX90033,SALE,,2026-09-04,M1004,SILVER,1,219,8760,8,
TX90034,SALE,,2026-09-29,M1002,SILVER,3,2188,87520,87,
TX90035,SALE,,2026-09-12,M1006,SILVER,4,2885,199000,199,
TX90036,SALE,,2026-09-07,M1007,PLATINUM,2,508,50800,50,
TX90037,SALE,,2026-09-15,M1005,GOLD,2,408,32640,32,
TX90038,SALE,,2026-09-01,M1006,SILVER,4,1186,47440,47,
TX90039,SALE,,2026-09-21,M1005,GOLD,4,2218,88720,88,
TX90040,SALE,,2026-09-30,M1006,SILVER,2,188,7520,7,
RF90001,REFUND,TX90008,2026-09-27,M1003,PLATINUM,3,-2535,,-507,full refund of TX90008: reverse exactly the 507 points it earned
RF90002,REFUND,TX90006,2026-09-19,M1002,SILVER,1,-749,,-59,full refund of TX90006: reverse exactly the 59 points it earned
RF90003,REFUND,TX90007,2026-09-11,M1004,SILVER,1,-137,,-17,"partial refund of TX90007: basket recomputed without line(s) [1] -> 12 pts, so claw back 29 - 12"
